main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,7급Ⅱ,家,"[[['집'], ['가']]]",宀,7,10
간,7급Ⅱ,間,"[[['사이'], ['간']]]",門,4,12
강,7급Ⅱ,江,"[[['강'], ['강']]]",水,3,6
거,7급Ⅱ,車,"[[['수레'], ['거']], [['수레'], ['차']]]",車,0,7
공,7급Ⅱ,工,"[[['장인'], ['공']]]",工,0,3
공,7급Ⅱ,空,"[[['빌'], ['공']]]",穴,3,8
기,7급Ⅱ,氣,"[[['기운'], ['기']]]",气,6,10
기,7급Ⅱ,記,"[[['기록할'], ['기']]]",言,3,10
남,7급Ⅱ,男,"[[['사내'], ['남']]]",田,2,7
내,7급Ⅱ,內,"[[['안'], ['내']]]",入,2,4
농,7급Ⅱ,農,"[[['농사'], ['농']]]",辰,6,13
답,7급Ⅱ,答,"[[['대답'], ['답']]]",竹,6,12
도,7급Ⅱ,道,"[[['길'], ['도']]]",辵,9,13
동,7급Ⅱ,動,"[[['움직일'], ['동']]]",力,9,11
력,7급Ⅱ,力,"[[['힘'], ['력']]]",力,0,2
립,7급Ⅱ,立,"[[['설'], ['립']]]",立,0,5
매,7급Ⅱ,每,"[[['매양'], ['매']]]",毋,3,7
명,7급Ⅱ,名,"[[['이름'], ['명']]]",口,3,6
물,7급Ⅱ,物,"[[['물건'], ['물']]]",牛,4,8
방,7급Ⅱ,方,"[[['모[棱]'], ['방']]]",方,0,4
불,7급Ⅱ,不,"[[['아닐'], ['불']]]",一,3,4
사,7급Ⅱ,事,"[[['일'], ['사']]]",亅,7,8
상,7급Ⅱ,上,"[[['윗'], ['상']]]",一,2,3
성,7급Ⅱ,姓,"[[['성'], ['성']]]",女,5,8
세,7급Ⅱ,世,"[[['인간'], ['세']]]",一,4,5
수,7급Ⅱ,手,"[[['손'], ['수']]]",手,0,4
시,7급Ⅱ,時,"[[['때'], ['시']]]",日,6,10
시,7급Ⅱ,市,"[[['저자'], ['시']]]",巾,2,5
식,7급Ⅱ,食,"[[['밥', '먹을'], ['식']]]",食,0,9
안,7급Ⅱ,安,"[[['편안'], ['안']]]",宀,3,6
오,7급Ⅱ,午,"[[['낮'], ['오']]]",十,2,4
우,7급Ⅱ,右,"[[['오를', '오른(쪽)'], ['우']]]",口,2,5
자,7급Ⅱ,子,"[[['아들'], ['자']]]",子,0,3
자,7급Ⅱ,自,"[[['스스로'], ['자']]]",自,0,6
장,7급Ⅱ,場,"[[['마당'], ['장']]]",土,9,12
전,7급Ⅱ,電,"[[['번개'], ['전']]]",雨,5,13
전,7급Ⅱ,前,"[[['앞'], ['전']]]",刀,7,9
전,7급Ⅱ,全,"[[['온전'], ['전']]]",入,4,6
정,7급Ⅱ,正,"[[['바를'], ['정']]]",止,1,5
족,7급Ⅱ,足,"[[['발'], ['족']]]",足,0,7
좌,7급Ⅱ,左,"[[['왼'], ['좌']]]",工,2,5
직,7급Ⅱ,直,"[[['곧을'], ['직']]]",目,3,8
평,7급Ⅱ,平,"[[['평평할'], ['평']]]",干,2,5
하,7급Ⅱ,下,"[[['아래'], ['하']]]",一,2,3
한,7급Ⅱ,漢,"[[['한수', '한나라'], ['한']]]",水,11,14
해,7급Ⅱ,海,"[[['바다'], ['해']]]",水,7,10
화,7급Ⅱ,話,"[[['말씀'], ['화']]]",言,6,13
활,7급Ⅱ,活,"[[['살'], ['활']]]",水,6,9
효,7급Ⅱ,孝,"[[['효도'], ['효']]]",子,4,7
후,7급Ⅱ,後,"[[['뒤'], ['후']]]",彳,6,9
가,7급,歌,"[[['노래'], ['가']]]",欠,10,14
구,7급,口,"[[['입'], ['구']]]",口,0,3
기,7급,旗,"[[['기'], ['기']]]",方,10,14
동,7급,同,"[[['한가지'], ['동']]]",口,3,6
동,7급,洞,"[[['골'], ['동']], [['밝을'], ['통']]]",水,6,9
동,7급,冬,"[[['겨울'], ['동']]]",冫,3,5
등,7급,登,"[[['오를'], ['등']]]",癶,7,12
래,7급,來,"[[['올'], ['래']]]",人,6,8
로,7급,老,"[[['늙을'], ['로']]]",老,0,6
리,7급,里,"[[['마을'], ['리']]]",里,0,7
림,7급,林,"[[['수풀'], ['림']]]",木,4,8
면,7급,面,"[[['낯'], ['면']]]",面,0,9
명,7급,命,"[[['목숨'], ['명']]]",口,5,8
문,7급,文,"[[['글월'], ['문']]]",文,0,4
문,7급,問,"[[['물을'], ['문']]]",口,8,11
백,7급,百,"[[['일백'], ['백']]]",白,1,6
부,7급,夫,"[[['지아비'], ['부']]]",大,1,4
산,7급,算,"[[['셈'], ['산']]]",竹,8,14
색,7급,色,"[[['빛'], ['색']]]",色,0,6
석,7급,夕,"[[['저녁'], ['석']]]",夕,0,3
소,7급,少,"[[['적을'], ['소']]]",小,1,4
소,7급,所,"[[['바'], ['소']]]",戶,4,8
수,7급,數,"[[['셈'], ['수']]]",攴,11,15
식,7급,植,"[[['심을'], ['식']]]",木,8,12
심,7급,心,"[[['마음'], ['심']]]",心,0,4
어,7급,語,"[[['말씀'], ['어']]]",言,7,14
연,7급,然,"[[['그럴'], ['연']]]",火,8,12
유,7급,有,"[[['있을'], ['유']]]",月,2,6
육,7급,育,"[[['기를'], ['육']]]",肉,4,8
읍,7급,邑,"[[['고을'], ['읍']]]",邑,0,7
입,7급,入,"[[['들'], ['입']]]",入,0,2
자,7급,字,"[[['글자'], ['자']]]",子,3,6
조,7급,祖,"[[['할아비'], ['조']]]",示,5,10
주,7급,住,"[[['살'], ['주']]]",人,5,7
주,7급,主,"[[['임금', '주인'], ['주']]]",丶,4,5
중,7급,重,"[[['무거울'], ['중']]]",里,2,9
지,7급,紙,"[[['종이'], ['지']]]",糸,4,10
지,7급,地,"[[['따'], ['지']]]",土,3,6
천,7급,千,"[[['일천'], ['천']]]",十,1,3
천,7급,天,"[[['하늘'], ['천']]]",大,1,4
천,7급,川,"[[['내'], ['천']]]",巛,0,3
초,7급,草,"[[['풀'], ['초']]]",艸,6,10
촌,7급,村,"[[['마을'], ['촌']]]",木,3,7
추,7급,秋,"[[['가을'], ['추']]]",禾,4,9
춘,7급,春,"[[['봄'], ['춘']]]",日,5,9
출,7급,出,"[[['날[生]'], ['출']]]",凵,3,5
편,7급,便,"[[['편할'], ['편']], [['똥오줌'], ['변']]]",人,7,9
하,7급,夏,"[[['여름'], ['하']]]",夊,7,10
화,7급,花,"[[['꽃'], ['화']]]",艸,4,8
휴,7급,休,"[[['쉴'], ['휴']]]",人,4,6
