main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,4급Ⅱ,假,"[[['거짓'], ['가']]]",人,9,11
가,4급Ⅱ,街,"[[['거리'], ['가']]]",行,6,12
감,4급Ⅱ,減,"[[['덜'], ['감']]]",水,9,12
감,4급Ⅱ,監,"[[['볼'], ['감']]]",皿,9,14
강,4급Ⅱ,講,"[[['욀'], ['강']]]",言,10,17
강,4급Ⅱ,康,"[[['편안'], ['강']]]",广,8,11
개,4급Ⅱ,個,"[[['낱'], ['개']]]",人,8,10
검,4급Ⅱ,檢,"[[['검사할'], ['검']]]",木,13,17
결,4급Ⅱ,潔,"[[['깨끗할'], ['결']]]",水,12,15
결,4급Ⅱ,缺,"[[['이지러질'], ['결']]]",缶,4,10
경,4급Ⅱ,境,"[[['지경'], ['경']]]",土,11,14
경,4급Ⅱ,經,"[[['지날', '글'], ['경']]]",糸,7,13
경,4급Ⅱ,警,"[[['깨우칠'], ['경']]]",言,13,20
경,4급Ⅱ,慶,"[[['경사'], ['경']]]",心,11,15
계,4급Ⅱ,係,"[[['맬'], ['계']]]",人,7,9
고,4급Ⅱ,故,"[[['연고'], ['고']]]",攴,5,9
관,4급Ⅱ,官,"[[['벼슬'], ['관']]]",宀,5,8
구,4급Ⅱ,求,"[[['구할[索]'], ['구']]]",水,2,7
구,4급Ⅱ,句,"[[['글귀'], ['구']]]",口,2,5
구,4급Ⅱ,究,"[[['연구할'], ['구']]]",穴,2,7
궁,4급Ⅱ,宮,"[[['집'], ['궁']]]",宀,7,10
권,4급Ⅱ,權,"[[['권세'], ['권']]]",木,18,22
극,4급Ⅱ,極,"[[['다할', '극진할'], ['극']]]",木,9,13
금,4급Ⅱ,禁,"[[['금할'], ['금']]]",示,8,13
기,4급Ⅱ,器,"[[['그릇'], ['기']]]",口,13,16
기,4급Ⅱ,起,"[[['일어날'], ['기']]]",走,3,10
난,4급Ⅱ,暖,"[[['따뜻할'], ['난']]]",日,9,13
